Books,Owned
Acquisitions Incorporated,1
Astral adventures guide ,1
Baldur's Gate: Descent Into Avernus,1
Bigby Presents: Glory of the Giants[26][27],
Boo Astral menagerie ,1
Candlekeep Mysteries,1
Critical Role: Call of the Netherdeep,
Curse of Strahd,1
Dragon of Icespire Peak,
Dragonlance: Shadow of the Dragon Queen[18],1
Dragons of Stormwreck Isle,
Dungeon Master's Guide (2014),1
Eberron: Rising from the Last War,1
Explorer's Guide to Wildemount,1
Fizban's Treasury of Dragons,
Ghosts of Saltmarsh,
Guildmasters' Guide to Ravnica,
Hoard of the Dragon Queen,
Hunt for the Thessalhydra,
Icewind Dale: Rime of the Frostmaiden,1
Journeys through the Radiant Citadel,1
Keys From the Golden Vault,1
Light of Xaryxis,1
Lost Mine of Phandelver,
Monster Manual (2014),1
Mordenkainen Presents: Monsters of the Multiverse[23][24],
Mordenkainen's Tome of Foes,1
Mythic Odysseys of Theros,1
Out of the Abyss,
Phandelver and Below: The Shattered Obelisk[24][25],1
Player's Handbook (2014),1
Princes of the Apocalypse,1
Quests from the Infinite Staircase,
Storm King's Thunder,1
Strixhaven: A Curriculum of Chaos,
Sword Coast Adventures Guide,1
Tales from the Yawning Portal,
Tasha's Cauldron of Everything,1
The Book Of Many Things,1
The Lost Dungeon of Rickedness,
The Rise of Tiamat,
The Wild Beyond the Witchlight,1
Tomb of Annihilation,1
Turn of Fortune's Wheel,
Tyranny of Dragons Rerelease,
Van Richten's Guide to Ravenloft[37],
Vecna: Eve of Ruin,
Volo's Guide to Monsters,1
Waterdeep: Dragon Heist,1
Waterdeep: Dungeon of the Mad Mage,1
Xanathar's Guide to Everything,1